WOS:000328237400001,Municipal Natural Science Foundation of Beijing [7090001]; National Natural Science Foundation of China [81202417]; National Infrastructure of Microbial Resource [NIMR-2012-3]
WOS:000329084200022,"Capital Medical University-Clinical Research Cooperation Fund [11JL50, 13JL26]; National Natural Science Foundation of China [81371443, 81070055]; Beijing Natural Science Foundation [7112046, 7122056]; Beijing Health System High Level Health Technical Personnel Training Plan [2011-1-4]; Specialized Research Fund for the Doctoral Program of Higher Education (SRFDP) [20111107110006]"
WOS:000329084200035,"National Natural Science Foundation of China ""Study on protective mechanism of the retinal ganglial cell (RGE) of ocular ischemic syndrome (OIS)"" [81173412]; Beijing Natural Science Foundation [7122046]"
WOS:000328745100128,"Beijing Natural Science Foundation [7102040, 7132060]; National Natural Science Foundation of China [81041020, 81271311, 81241039]; Traditional Chinese Medicine, Beijing Technology Development Fund [SF-2007-III-22]; Beijing Excellent Talent Foundation [20071-D0300100062]; high-level technical training project funding of Beijing health system [2011-3-004]; Beijing city staff to go abroad preferential funding scheme"
WOS:000328737700064,"Natural Science Foundation of China [81241022, 81200407]; Natural Science Foundation of Beijing [7122045]"
WOS:000330266500024,"Fund for Innovative Climate and Energy Research (FICER); U.S. Department of Energy by Battelle Memorial Institute [DE-AC05-76RL01830]; NASA High-End Computing (HEC) Program through the NASA Center for Climate Simulation (NCCS) at Goddard Space Flight Center; Joint DECC/Defra Met Office Hadley Centre Climate Programme [GA01101]; NSF [AGS-1157525, CBET-1240507]; EuTRACE project, the European Union 7th Framework Programme [306395]; European Union [226567-IMPLICC]; Norwegian Research Council; HPC resources of [CCT/TGCC/CINES/IDRIS] under GENCI (Grand Equipement National de Calcul Intensif) [2012-t2012012201]; National Science Foundation; Innovative Program of Climate Change Projection for the 21st century, MEXT, Japan; Office of Science of the U.S. Department of Energy [DE-AC02-05CH11231]"
WOS:000330383300001,Beijing National Science Foundation [7102062]
WOS:000327787700028,"Polish Ministry of Science and Higher Education [0119/IP1/2011/71, IP2012 010772]; National Natural Science Foundation of China (NSFC) [81250110087]"
WOS:000329084100026,"National Natural Science Foundation of China [81070055, 81371443]; Beijing Science and Technology Commission [Z111100074911001]; Beijing Natural Science Foundation [7112046, 7122056]; Beijing Health System High Level Health Technical Personnel Training Plan [2011-1-4]; Basic and Clinical Cooperation Project of Capital Medical University [13JL26]"
WOS:000328566100019,National Natural Science Foundation of China (NSFC) [81270274]; Beijing Natural Science Foundation [7132225]; Capital Health Research and Development of Special Funds [2011-4022-03]; NSFC [81270276]; Clinical Medicine Research Special Funds from the Chinese Medical Association [09010060161]
WOS:000327944500124,"NSFC/RGC Joint Research Scheme [N_HKU 747/11]; University Grants Committee of the Hong Kong Special Administrative Region, China [AoE/M-12/06]"
WOS:000326310200008,Key Program of NSFC [70831005]; Key Project of China Petroleum and Chemical Corporation [GJ-73-0706]
WOS:000332937600063,Beijing Natural Science Foundation [7112076]; National Natural Science Foundation of China [81274011]
WOS:000330473200003,National Natural Science Foundation of China [81200850]; Beijing Natural Science Foundation [7123224]
WOS:000330220400006,Major National Science and Technology Projects/Significant New Drugs Creation [2009ZX09103-726]; National Natural Science Foundation of China [81374015]
WOS:000329537100002,Ningxia Natural Science Foundation of China [NZ11113]; Ministry of Education [Z2008-1-75018]
WOS:000329207100013,"National Natural Science Foundation of China [81170795, 81370962, 81330010, 81030012, 81390354]; Major National Basic Research Program of China [2010CB912504]; Program for New Century Excellent Talents in University [NCET-10-0183]; Beijing Natural Science Foundation [7112080]"
WOS:000329336500003,State Key Program of the Natural Science Foundation of China [81030019]; National Science Foundation for Young Scholars of China [81200969]; Peking University Third Hospital Scientific Research Foundation for Returned Scholars [73526-01]
WOS:000328889500003,Beijing Municipal Natural Science Foundation of China [7112127]
WOS:000328752300002,"National Natural Science Foundation of China [81170144, 81170199, 81270185]; National Heart, Lung, and Blood Institute [HL-63828, HL-096686]; American Diabetes Association Research Award [7-08-RA-98]"
WOS:000329013900010,"Master Innovation Funds of Heilongjiang Province [YJSCX2012-205HLJ, YJSCX2011-341HLJ, YJSCX2012-223HLJ]; Provincial Education Department Project of Heilongjiang [11541121, 12531227]; Innovation Manpower Fund of Harbin Science and Technology Bureau [2010RFXXS053]; National Science Foundation of Heilongjiang Province [QC2012C010]; Department of health of Heilongjiang Province [2012-798]"
WOS:000328210000005,Natural Sciences and Engineering Research Council of Canada (NSERC); National Science Foundation [DEB-0515973]; Northern Scientific Training Program Grants; NSERC; Kluane Red Squirrel Project [70]
WOS:000328268600003,"National Natural Science Foundation of China [81274122, 81273629, 81001487]; Special Purpose for New Drug Development [2012ZX09301002-004]; Studies on the Structure and Function of Bioactive Substances from Natural Medicines [IRT1007]; Beijing Natural Science Foundation [7131013]; Research Fund for the Doctoral Program of Higher Education of China [20121106130001]"
WOS:000328094600014,"AO Trauma Research Grant; Hong Kong Research Grant Council Competitive Earmarked Research Grant [718913, 718507]; HKU University Research Council; City University of Hong Kong [9667066]; National Natural Science Foundation of China (NSFC); National Science Fund for Distinguished Young Scholars [51225101]; Shenzhen Key Laboratory for Innovative Technology in Orthopaedic Trauma; University of Hong Kong Shenzhen Hospital"
WOS:000327923400048,"Beijing Municipal Natural Science Foundation of China [7082055]; National Basic Research Program of China (973 Program) [2009CB521805]; Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education Ministry [(2008)890]"
